action_id,set_type,detail_1,detail_2
0,High card,0,
1,High card,1,
2,High card,2,
3,High card,3,
4,High card,4,
5,High card,5,
6,Pair,0,
7,Pair,1,
8,Pair,2,
9,Pair,3,
10,Pair,4,
11,Pair,5,
12,Two pairs,1,0
13,Two pairs,2,0
14,Two pairs,2,1
15,Two pairs,3,0
16,Two pairs,3,1
17,Two pairs,3,2
18,Two pairs,4,0
19,Two pairs,4,1
20,Two pairs,4,2
21,Two pairs,4,3
22,Two pairs,5,0
23,Two pairs,5,1
24,Two pairs,5,2
25,Two pairs,5,3
26,Two pairs,5,4
27,Small straight,,
28,Big straight,,
29,Great straight,,
30,Three of a kind,0,
31,Three of a kind,1,
32,Three of a kind,2,
33,Three of a kind,3,
34,Three of a kind,4,
35,Three of a kind,5,
36,Full house,0,1
37,Full house,0,2
38,Full house,0,3
39,Full house,0,4
40,Full house,0,5
41,Full house,1,0
42,Full house,1,2
43,Full house,1,3
44,Full house,1,4
45,Full house,1,5
46,Full house,2,0
47,Full house,2,1
48,Full house,2,3
49,Full house,2,4
50,Full house,2,5
51,Full house,3,0
52,Full house,3,1
53,Full house,3,2
54,Full house,3,4
55,Full house,3,5
56,Full house,4,0
57,Full house,4,1
58,Full house,4,2
59,Full house,4,3
60,Full house,4,5
61,Full house,5,0
62,Full house,5,1
63,Full house,5,2
64,Full house,5,3
65,Full house,5,4
66,Colour,0,
67,Colour,1,
68,Colour,2,
69,Colour,3,
70,Four of a kind,0,
71,Four of a kind,1,
72,Four of a kind,2,
73,Four of a kind,3,
74,Four of a kind,4,
75,Four of a kind,5,
76,Small flush,0,
77,Small flush,1,
78,Small flush,2,
79,Small flush,3,
80,Big flush,0,
81,Big flush,1,
82,Big flush,2,
83,Big flush,3,
84,Great flush,0,
85,Great flush,1,
86,Great flush,2,
87,Great flush,3,
